ноль	cero
па́дать / (у)па́сть, паду́, падёшь	caer
(по)вез|ти́, -у́,-ёшь<br>(вёз,-ла́,-ло́)	llevar (en vehículo, unidireccional)
во|зи́ть, -жу́,-зишь	llevar (en vehículo, multidireccional)
нес|ти́, -у́,-ёшь<br>(нёс,-ла́,-ло́)	llevar (a pie, unidireccional)
но|си́ть, -шу́,-сишь	llevar (a pie, multidireccional)
кача́ть	agitarse, mecerse, vibrar, bombear
нажима́ть / наж|а́ть, -му́,-мёшь	apretar
толка́ть / толкн|у́ть, -у́,-ёшь	empujar
вынима́ть / вы́н|уть, -у,-ешь	sacar
(по)ста́в|ить, -лю,-ишь	poner (posición vertical)
вставля́ть / вста́в|ить, -лю,-ишь	meter
кла|сть, -ду́,-дёшь<br>(-л,-ла,-ло)<br>/<br>пол|ожи́ть, -ожу́,-о́жишь	poner (posición horizontal)
бере́менная	embarazada
Я здесь. Иди сюда.<br>Она там. Иди туда.<br>Он дома. Иди домой.	Estoy aquí. Ven acá.<br>Estoy ahí. Ve allá.<br>Está en casa. Ve a casa.
Они внизу'. Идите вниз/'снизу.<br />Мы наверху'. Идите наверх'/'сверху.<br />Я 'сзади [позади']. Иди назад'/'сзади.<br />Она впереди'. Иди вперёд/'спереди.	Están debajo. Id abajo/desde abajo.<br>Estamos encima. Id arriba/desde arriba.<br>Estamos detrás. Ve atrás/desde atrás.<br>Ella está delante. Ve adelante/desde delante.
Он направо. Иди направо. Прийди справа.<div>Она налево. Иди налево. Прийди слева.</div><div>Ты сбоку/в стороне. Иди вбок/в сторону. Прийди сбоку/со стороны.</div>	"<span class=""Apple-tab-span"" style=""white-space: pre""> </span>Él está a la derecha. Ve a la derecha. Ven desde la derecha.<div>Ella está a la izquierda. Ve a la izquierda. Ven desde la izquierda.</div><div>Estás al lado. Ve al lado. Ven desde el lado.</div>"
<div>внутри' - внутрь - изнутри'</div><div>снаружи - наружу - снаружи</div><div>[= вне - вовне' - извне']</div>	dentro - hacia dentro - desde dentro<div>fuera - hacia afuera, desde fuera</div>
